repeat,holdout_wells,test_loss,test_acc,f1_micro,f1_macro
0,"['950р_6', '846р_6', '1079р_3', '873р_2', '783р_1']",0.010687145883637356,0.36416184971098264,0.36416184971098264,0.14047619047619048
1,"['841р_4', '860р_2', '779р_10', '1121_1', '1023р_10']",0.000517450627826509,0.8928571428571429,0.8928571428571429,0.2202982292637465
2,"['604р_2', '720р_1', '1068р_4', '1002р_8', '773р_1']",0.007372277328766972,0.42168674698795183,0.42168674698795183,0.23144890139964033
3,"['542р_4', '952р_4', '907р_2', '864р_4', '541р_4']",0.03326079198869608,0.1016949152542373,0.1016949152542373,0.09999999999999999
4,"['874р_4', '679р_1', '439р_2', '183_1', '778р_2']",0.007972890443175378,0.635036496350365,0.635036496350365,0.28446226975638744
5,"['697р_2', '761р_2', '837р_1', '769р_8', '557р_1']",0.007959414411474157,0.5185185185185185,0.5185185185185185,0.31700033704078195
6,"['822р_2', '438р_6', '917р_2', '776р_14', '563р_2']",0.05090775489807129,0.25,0.25,0.0816326530612245
7,"['986р_2', '779р_6', '812р_1', '169_3', '1121_1']",0.00046676832034175556,0.9142857142857143,0.9142857142857143,0.16084656084656085
8,"['818р_4', '833р_2', '1023р_6', '690р_1', '938р_7']",0.04171761005155502,0.04838709677419355,0.04838709677419355,0.06261022927689594
9,"['1002р_8', '573р_2', '560р_1', '778р_12', '723р_2']",0.008948123583229639,0.42473118279569894,0.42473118279569894,0.21726487342158984
10,"['950р_2', '727р_9', '895р_1', '491р_1', '1002р_4']",0.02048690050420627,0.5070422535211268,0.5070422535211268,0.27777777777777773
11,"['776р_20', '622р_2', '979р_2', '841р_4', '961р_1']",0.01846467285621457,0.36585365853658536,0.36585365853658536,0.24333333333333332
12,"['1069р_2', '960р_1', '1068р_4', '825р_6', '1027р_2']",0.013046408103684248,0.4067796610169492,0.4067796610169492,0.21050484446710863
13,"['832р_6', '189_3', '727р_9', '947р_8', '770р_2']",0.0077295602996492645,0.6174863387978142,0.6174863387978142,0.2492877492877493
14,"['442р_4', '1121_1', '921р_2', '392_2', '1017р_3']",0.0007484629986778138,0.5857142857142857,0.5857142857142857,0.23999911079625247
15,"['708р_1', '927р_4', '178_3', '495_1', '825р_2']",0.001376277039408201,0.6410256410256411,0.6410256410256411,0.20820087246680918
16,"['876р_8', '829р_1', '885р_2', '171_3', '984р_1']",0.0047008612473022765,0.30049261083743845,0.30049261083743845,0.14810361752323473
17,"['914р_7', '762р_1', '10д_2', '1002р_4', '859р_2']",0.00381238828778891,0.5026178010471204,0.5026178010471204,0.23212097338935575
18,"['846р_4', '692р_1', '515р_1', '177_3', '214_3']",0.0032542460751764984,0.5849514563106796,0.5849514563106796,0.38934037654070164
19,"['921р_4', '982р_2', '1008р_1', '876р_8', '969р_6']",0.011295826007158328,0.5897435897435898,0.5897435897435898,0.33358798064680417
